127.0.0.1 - - [24/Jun/2020:15:11:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:11:52 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:11:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:12:48 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:12:48 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:12:50 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:12:50 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:14:10 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:14:10 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:15:08 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:27:35 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:27:35 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 200 92
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:27:56 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:30:11 +0900] "GET /htmlstudy/day02/html07.html HTTP/1.1" 200 2623
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:30:11 +0900] "GET /htmlstudy/day02/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Jun/2020:15:44:11 +0900] "GET /htmlstudy/day02/html08.html HTTP/1.1" 200 841
