127.0.0.1 - - [23/Jul/2020:15:47:01 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:47:01 +0900] "GET /jQuery/ex26.html HTTP/1.1" 200 940
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:47:01 +0900] "GET /jQuery/images/pineapple.jpg HTTP/1.1" 200 16497
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:47:10 +0900] "GET /jQuery/ex26.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:47:13 +0900] "GET /jQuery/ex26.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/ex27.html HTTP/1.1" 200 822
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/images/pic_2.jpg HTTP/1.1" 200 249921
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/images/pic_3.jpg HTTP/1.1" 200 227705
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/images/pic_1.jpg HTTP/1.1" 200 213785
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/images/pic_4.jpg HTTP/1.1" 200 232366
0:0:0:0:0:0:0:1 - - [23/Jul/2020:15:50:22 +0900] "GET /jQuery/images/pic_5.jpg HTTP/1.1" 200 97601
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/ex27.html HTTP/1.1" 200 2596
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/pic_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/pic_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/pic_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/pic_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/pic_5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:19 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:21 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:21 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:32:21 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:45 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:45 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:45 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:46 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:47 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:49 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:49 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:36:49 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:06 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:06 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:06 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:07 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:07 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:07 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:08 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:09 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:09 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:09 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:10 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:10 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:10 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/ex27.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/pic_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/pic_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/pic_4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/pic_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/pic_5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/next_btn.png HTTP/1.1" 200 1436
0:0:0:0:0:0:0:1 - - [23/Jul/2020:16:37:50 +0900] "GET /jQuery/images/prev_btn.png HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/web_main.html HTTP/1.1" 200 8235
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/pic_1.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/pic_2.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/pic_4.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/pic_3.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/prev_btn.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/pic_5.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/%EB%A7%A8%ED%88%AC%EB%A7%A8.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/next_btn.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [23/Jul/2020:17:19:26 +0900] "GET /webpage/images/%EB%B0%98%ED%8C%94%ED%8B%B0.jpeg HTTP/1.1" 304 -
