127.0.0.1 - - [10/Jul/2020:16:24:41 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:42 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:42 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:42 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:49 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:49 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:50 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:51 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:51 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:52 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:53 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:54 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:54 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:54 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:24:55 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:06 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:06 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:06 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:08 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:08 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:08 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:15 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:26:15 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:27:33 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:27:33 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:27:33 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:27:57 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:27:57 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:19 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 200 1055
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:19 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:19 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:36 +0900] "GET /javascript/ex33_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:36 +0900] "GET /javascript/images/pic_bulboff.gif HTTP/1.1" 200 2493
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:36 +0900] "GET /javascript/images/pineapple.jpg HTTP/1.1" 200 16497
0:0:0:0:0:0:0:1 - - [10/Jul/2020:16:28:39 +0900] "GET /javascript/images/pic_bulbon.gif HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [10/Jul/2020:17:17:10 +0900] "GET /javascript/ex34_Event.html HTTP/1.1" 200 802
0:0:0:0:0:0:0:1 - - [10/Jul/2020:17:17:47 +0900] "GET /javascript/ex34_Event.html HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [10/Jul/2020:17:17:48 +0900] "GET /javascript/ex34_Event.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:17:35:06 +0900] "GET /javascript/ex11_function.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jul/2020:17:36:14 +0900] "GET /javascript/ex12_function.html HTTP/1.1" 304 -
