127.0.0.1 - - [08/Jul/2020:15:00:57 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [08/Jul/2020:15:00:58 +0900] "GET /javascript/ex19_Number.jsp HTTP/1.1" 200 2864
196.52.43.66 - - [08/Jul/2020:15:04:33 +0900] "GET / HTTP/1.0" 404 807
0:0:0:0:0:0:0:1 - - [08/Jul/2020:15:09:00 +0900] "GET /javascript/ex19_Number.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [08/Jul/2020:15:09:02 +0900] "GET /javascript/ex19_Number.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [08/Jul/2020:15:09:05 +0900] "GET /javascript/ex19_Number.jsp HTTP/1.1" 200 2864
0:0:0:0:0:0:0:1 - - [08/Jul/2020:15:09:52 +0900] "GET /javascript/ex19_Number.jsp HTTP/1.1" 200 3977
0:0:0:0:0:0:0:1 - - [08/Jul/2020:16:17:01 +0900] "GET /javascript/ex22_typeof.html HTTP/1.1" 200 976
0:0:0:0:0:0:0:1 - - [08/Jul/2020:16:56:17 +0900] "GET /javascript/ex23_Array2.html HTTP/1.1" 200 1471
0:0:0:0:0:0:0:1 - - [08/Jul/2020:16:58:33 +0900] "GET /javascript/ex23_Array2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2020:17:09:47 +0900] "GET /javascript/ex23_Array2.html HTTP/1.1" 304 -
